Time,Z-stack,Microns,Intensity,Cell
16,4,9.99185,415.42,3
17,0,0,313.383,3
17,1,2.49796,458.278,3
17,2,4.99592,440.299,3
17,3,7.49389,434.586,3
17,4,9.99185,385.842,3
18,0,0,318.101,3
18,1,2.49796,470.19,3
18,2,4.99592,453.908,3
18,3,7.49389,420.715,3
18,4,9.99185,423.539,3
19,0,0,312.38,3
19,1,2.49796,473.115,3
19,2,4.99592,507.815,3
19,3,7.49389,532.45,3
19,4,9.99185,551.192,3
20,0,0,303.732,3
20,1,2.49796,510.678,3
20,2,4.99592,624.658,3
20,3,7.49389,640.801,3
20,4,9.99185,629.691,3
21,0,0,317.402,3
21,1,2.49796,544.131,3
21,2,4.99592,665.948,3
21,3,7.49389,675.778,3
21,4,9.99185,619.986,3
22,0,0,315.366,3
22,1,2.49796,537.136,3
22,2,4.99592,699.193,3
22,3,7.49389,706.409,3
22,4,9.99185,643.806,3
23,0,0,318.341,3
23,1,2.49796,538.785,3
23,2,4.99592,682.623,3
23,3,7.49389,669.075,3
23,4,9.99185,554.205,3
1,0,0,821.829,4
1,1,2.49796,967.347,4
1,2,4.99592,1219.023,4
1,3,7.49389,2133.062,4
1,4,9.99185,3279.121,4
1,5,12.48981,4106.195,4
2,0,0,785.186,4
2,1,2.49796,1086.881,4
2,2,4.99592,1015.489,4
2,3,7.49389,1504.616,4
2,4,9.99185,2453.939,4
2,5,12.48981,3595.474,4
3,0,0,750.255,4
3,1,2.49796,1134.445,4
3,2,4.99592,838.384,4
3,3,7.49389,991.295,4
3,4,9.99185,1613.344,4
3,5,12.48981,2728.615,4
4,0,0,703.856,4
4,1,2.49796,1114.761,4
4,2,4.99592,751.681,4
4,3,7.49389,734.344,4
4,4,9.99185,1231.608,4
4,5,12.48981,1871.626,4
5,0,0,661.941,4
5,1,2.49796,1119.013,4
5,2,4.99592,750.899,4
5,3,7.49389,696.533,4
5,4,9.99185,1101.241,4
5,5,12.48981,1666.715,4
6,0,0,651.253,4
6,1,2.49796,1226.568,4
6,2,4.99592,858.453,4
6,3,7.49389,791.672,4
6,4,9.99185,1242.792,4
6,5,12.48981,1617.955,4
7,0,0,629.622,4
7,1,2.49796,1215.293,4
7,2,4.99592,858.435,4
7,3,7.49389,744.461,4
7,4,9.99185,929.889,4
7,5,12.48981,988.016,4
8,0,0,645.34,4
8,1,2.49796,1278.053,4
8,2,4.99592,855.531,4
8,3,7.49389,595.157,4
8,4,9.99185,810.131,4
8,5,12.48981,889.828,4
9,0,0,606.604,4
9,1,2.49796,1240.443,4
9,2,4.99592,901.555,4
9,3,7.49389,671.099,4
9,4,9.99185,762.074,4
9,5,12.48981,829.793,4
10,0,0,616.07,4
10,1,2.49796,1238.412,4
10,2,4.99592,1005.153,4
10,3,7.49389,839.456,4
10,4,9.99185,906.371,4
10,5,12.48981,1283.913,4
11,0,0,620.807,4
11,1,2.49796,1242.418,4
11,2,4.99592,942.521,4
11,3,7.49389,704.511,4
11,4,9.99185,816.74,4
11,5,12.48981,1159.915,4
12,0,0,623.296,4
12,1,2.49796,1289.962,4
12,2,4.99592,1098.661,4
12,3,7.49389,1020.319,4
12,4,9.99185,1119.317,4
12,5,12.48981,1197.317,4
13,0,0,597.898,4
13,1,2.49796,1299.385,4
13,2,4.99592,1166.693,4
13,3,7.49389,1156.128,4
13,4,9.99185,1191.837,4
13,5,12.48981,1089.901,4
14,0,0,564.562,4
14,1,2.49796,1251.637,4
14,2,4.99592,1029.553,4
14,3,7.49389,859.435,4
14,4,9.99185,829.062,4
14,5,12.48981,914.02,4
15,0,0,562.92,4
15,1,2.49796,1234.135,4
15,2,4.99592,986.877,4
15,3,7.49389,881.069,4
15,4,9.99185,1337.054,4
15,5,12.48981,1498.633,4
16,0,0,689.551,4
16,1,2.49796,1382.308,4
16,2,4.99592,1121.877,4
16,3,7.49389,1387.985,4
16,4,9.99185,1927.345,4
16,5,12.48981,2102.524,4
17,0,0,840.353,4
17,1,2.49796,1430.272,4
17,2,4.99592,1276.914,4
17,3,7.49389,1658.019,4
17,4,9.99185,2281.32,4
17,5,12.48981,2523.067,4
18,0,0,861.452,4
18,1,2.49796,1555.371,4
18,2,4.99592,1478.672,4
18,3,7.49389,1801.794,4
18,4,9.99185,2340.16,4
18,5,12.48981,2680.283,4
19,0,0,906.497,4
19,1,2.49796,1617.355,4
19,2,4.99592,1438.296,4
19,3,7.49389,1694.632,4
19,4,9.99185,2446.253,4
19,5,12.48981,2923.494,4
20,0,0,861.09,4
20,1,2.49796,1510.436,4
20,2,4.99592,1458.681,4
20,3,7.49389,1809.473,4
20,4,9.99185,2226.308,4
20,5,12.48981,2581.896,4
21,0,0,815.442,4
21,1,2.49796,1395.702,4
21,2,4.99592,1255.34,4
21,3,7.49389,1303.304,4
21,4,9.99185,1561.844,4
21,5,12.48981,2100.831,4
22,0,0,723.878,4
22,1,2.49796,1221.279,4
22,2,4.99592,1140.136,4
22,3,7.49389,1503.596,4
22,4,9.99185,1777.112,4
22,5,12.48981,2308.325,4
23,0,0,757.141,4
23,1,2.49796,1370.128,4
23,2,4.99592,1280.366,4
23,3,7.49389,1412.665,4
23,4,9.99185,2009.372,4
23,5,12.48981,2669.594,4
24,0,0,673.746,4
24,1,2.49796,1242.738,4
24,2,4.99592,1693.302,4
24,3,7.49389,2655.789,4
24,4,9.99185,3790.684,4
24,5,12.48981,4224.727,4
1,0,0,325.433,5
1,1,2.49796,339.645,5
1,2,4.99592,331.337,5
1,3,7.49389,325.499,5
1,4,9.99185,357.819,5
1,5,12.48981,521.919,5
2,0,0,349.214,5
2,1,2.49796,350.364,5
2,2,4.99592,358.139,5
2,3,7.49389,331.238,5
2,4,9.99185,393.073,5
2,5,12.48981,535.114,5
3,0,0,364.165,5
3,1,2.49796,404.971,5
3,2,4.99592,377.286,5
3,3,7.49389,359.448,5
3,4,9.99185,422.605,5
3,5,12.48981,550.102,5
4,0,0,362.438,5
4,1,2.49796,382.501,5
4,2,4.99592,381.456,5
4,3,7.49389,368.061,5
4,4,9.99185,393.416,5
4,5,12.48981,532.754,5
5,0,0,368.287,5
5,1,2.49796,379.823,5
5,2,4.99592,356.121,5
5,3,7.49389,371.06,5
5,4,9.99185,442.872,5
5,5,12.48981,584.391,5
6,0,0,363.373,5
6,1,2.49796,394.887,5
6,2,4.99592,361.504,5
6,3,7.49389,388.52,5
6,4,9.99185,487.153,5
6,5,12.48981,618.939,5
7,0,0,387.736,5
7,1,2.49796,402.163,5
7,2,4.99592,391.809,5
7,3,7.49389,398.046,5
7,4,9.99185,471.16,5
7,5,12.48981,605.001,5
8,0,0,372.728,5
8,1,2.49796,384.18,5
8,2,4.99592,370.709,5
8,3,7.49389,373.803,5
8,4,9.99185,438.756,5
8,5,12.48981,572.203,5
9,0,0,391.951,5
9,1,2.49796,433.333,5
9,2,4.99592,415.462,5
9,3,7.49389,417.186,5
9,4,9.99185,477.494,5
9,5,12.48981,594.674,5
10,0,0,412.068,5
10,1,2.49796,453.338,5
10,2,4.99592,422.087,5
10,3,7.49389,436.412,5
10,4,9.99185,499.812,5
10,5,12.48981,611.305,5
11,0,0,378.203,5
11,1,2.49796,420.757,5
11,2,4.99592,408.282,5
11,3,7.49389,436.704,5
11,4,9.99185,526.13,5
11,5,12.48981,658.204,5
12,0,0,393.398,5
12,1,2.49796,430.232,5
12,2,4.99592,406.104,5
12,3,7.49389,468.416,5
12,4,9.99185,538.858,5
12,5,12.48981,636.427,5
13,0,0,417.154,5
13,1,2.49796,459.378,5
13,2,4.99592,449.531,5
13,3,7.49389,507.157,5
13,4,9.99185,622.309,5
13,5,12.48981,712.685,5
14,0,0,423.17,5
14,1,2.49796,447.597,5
14,2,4.99592,447.476,5
14,3,7.49389,494.742,5
14,4,9.99185,645.101,5
14,5,12.48981,738.776,5
15,0,0,430.357,5
15,1,2.49796,462.833,5
15,2,4.99592,460.209,5
15,3,7.49389,520.546,5
15,4,9.99185,638.069,5
15,5,12.48981,741.348,5
16,0,0,422.581,5
16,1,2.49796,481.518,5
16,2,4.99592,479.333,5
16,3,7.49389,531.568,5
16,4,9.99185,622.078,5
16,5,12.48981,697.311,5
17,0,0,411.237,5
17,1,2.49796,460.898,5
17,2,4.99592,460.562,5
17,3,7.49389,516.243,5
17,4,9.99185,604.66,5
17,5,12.48981,679.172,5
18,0,0,415.413,5
18,1,2.49796,467.361,5
18,2,4.99592,449.103,5
18,3,7.49389,523.625,5
18,4,9.99185,623.927,5
18,5,12.48981,657.74,5
19,0,0,402.332,5
19,1,2.49796,450.493,5
19,2,4.99592,449.453,5
19,3,7.49389,520.583,5
19,4,9.99185,603.299,5
19,5,12.48981,632.127,5
20,0,0,398.057,5
20,1,2.49796,469.747,5
20,2,4.99592,484.335,5
20,3,7.49389,581.082,5
20,4,9.99185,661.631,5
20,5,12.48981,715.273,5
21,0,0,398.489,5
21,1,2.49796,468.352,5
21,2,4.99592,503.467,5
21,3,7.49389,584.204,5
21,4,9.99185,655.579,5
21,5,12.48981,718.036,5
22,0,0,417.547,5
22,1,2.49796,513.297,5
22,2,4.99592,539.345,5
22,3,7.49389,609.511,5
22,4,9.99185,669.507,5
22,5,12.48981,727.209,5
23,0,0,370.922,5
23,1,2.49796,438.695,5
23,2,4.99592,420.789,5
23,3,7.49389,463.428,5
23,4,9.99185,510.821,5
23,5,12.48981,554.131,5
1,0,0,348.7512,6
1,1,2.49796,327.3496,6
1,2,4.99592,270.1205,6
1,3,7.49389,299.4638,6
2,0,0,420.1561,6
2,1,2.49796,452.1792,6
2,2,4.99592,378.0771,6
2,3,7.49389,397.2208,6
3,0,0,510.3018,6
3,1,2.49796,544.5174,6
3,2,4.99592,468.6281,6
3,3,7.49389,495.9709,6
4,0,0,584.896,6
4,1,2.49796,630.094,6
4,2,4.99592,509.748,6
4,3,7.49389,398.47,6
5,0,0,533.534,6
5,1,2.49796,539.999,6
5,2,4.99592,422.044,6
5,3,7.49389,379.966,6
6,0,0,522.959,6
6,1,2.49796,505.923,6
6,2,4.99592,389.173,6
6,3,7.49389,315.604,6
7,0,0,499.834,6
7,1,2.49796,444.14,6
7,2,4.99592,316.062,6
7,3,7.49389,259.594,6
8,0,0,596.08,6
8,1,2.49796,558.353,6
8,2,4.99592,370.449,6
8,3,7.49389,275.501,6
9,0,0,562.063,6
9,1,2.49796,597.159,6
9,2,4.99592,352.468,6
9,3,7.49389,228.436,6
10,0,0,590.696,6
10,1,2.49796,648.329,6
10,2,4.99592,388.219,6
10,3,7.49389,213.799,6
11,0,0,719.724,6
11,1,2.49796,846.704,6
11,2,4.99592,497.132,6
11,3,7.49389,261.052,6
12,0,0,709.189,6
12,1,2.49796,738.713,6
12,2,4.99592,433.664,6
12,3,7.49389,222.411,6
13,0,0,801.888,6
13,1,2.49796,904.78,6
13,2,4.99592,529.673,6
13,3,7.49389,270.516,6
14,0,0,798.795,6
14,1,2.49796,870.035,6
14,2,4.99592,458.929,6
14,3,7.49389,235.959,6
15,0,0,843.717,6
15,1,2.49796,889.815,6
15,2,4.99592,505.068,6
15,3,7.49389,300.999,6
16,0,0,832.556,6
16,1,2.49796,927.521,6
16,2,4.99592,595.409,6
16,3,7.49389,351.553,6
17,0,0,770.735,6
17,1,2.49796,663.423,6
17,2,4.99592,348.734,6
17,3,7.49389,190.817,6
18,0,0,882.282,6
18,1,2.49796,898.176,6
18,2,4.99592,535.524,6
18,3,7.49389,335.994,6
19,0,0,807.99,6
19,1,2.49796,772.348,6
19,2,4.99592,422.662,6
19,3,7.49389,257.02,6
20,0,0,817.779,6
20,1,2.49796,727.009,6
20,2,4.99592,403.872,6
20,3,7.49389,246.092,6
21,0,0,941.331,6
21,1,2.49796,1004.291,6
21,2,4.99592,783.086,6
21,3,7.49389,554,6
22,0,0,991.017,6
22,1,2.49796,1140.725,6
22,2,4.99592,1010.917,6
22,3,7.49389,775.686,6
23,0,0,1007.171,6
23,1,2.49796,1157.49,6
23,2,4.99592,923.664,6
23,3,7.49389,661.125,6
24,0,0,1017.838,6
24,1,2.49796,1410.509,6
24,2,4.99592,1316.095,6
24,3,7.49389,1034.766,6
25,0,0,1037.151,6
25,1,2.49796,1513.758,6
25,2,4.99592,1429.187,6
25,3,7.49389,1052.271,6
26,0,0,1113.544,6
26,1,2.49796,1646.653,6
26,2,4.99592,1447.725,6
26,3,7.49389,1010.401,6
27,0,0,1051.244,6
27,1,2.49796,1596.683,6
27,2,4.99592,1417.402,6
27,3,7.49389,936.787,6
28,0,0,1139.066,6
28,1,2.49796,1624.976,6
28,2,4.99592,1316.607,6
28,3,7.49389,871.665,6
29,0,0,1042.124,6
29,1,2.49796,1453.798,6
29,2,4.99592,1163.84,6
29,3,7.49389,714.28,6
30,0,0,1069.168,6
30,1,2.49796,1461.061,6
30,2,4.99592,1177.237,6
30,3,7.49389,720.816,6
31,0,0,1004.635,6
31,1,2.49796,1360.005,6
31,2,4.99592,1023.216,6
31,3,7.49389,601.986,6
32,0,0,957.115,6
32,1,2.49796,1326.904,6
32,2,4.99592,963.075,6
32,3,7.49389,617.44,6
33,0,0,869.683,6
33,1,2.49796,1275.128,6
33,2,4.99592,1053.659,6
33,3,7.49389,691.956,6
1,0,0,352.985,7
1,1,2.49796,516.343,7
1,2,4.99592,736.203,7
1,3,7.49389,891.898,7
1,4,9.99185,941.115,7
2,0,0,364.896,7
2,1,2.49796,533.788,7
2,2,4.99592,738.744,7
2,3,7.49389,838.68,7
2,4,9.99185,890.32,7
3,0,0,404.462,7
3,1,2.49796,573.687,7
3,2,4.99592,827.9,7
3,3,7.49389,965.902,7
3,4,9.99185,1024.703,7
4,0,0,380.993,7
4,1,2.49796,582.134,7
4,2,4.99592,807.301,7
4,3,7.49389,923.466,7
4,4,9.99185,960.882,7
5,0,0,369.216,7
5,1,2.49796,565.687,7
5,2,4.99592,791.823,7
5,3,7.49389,923.322,7
5,4,9.99185,1013.593,7
6,0,0,371.517,7
6,1,2.49796,581.868,7
6,2,4.99592,827.496,7
6,3,7.49389,970.547,7
6,4,9.99185,1028.638,7
7,0,0,396.921,7
7,1,2.49796,624.146,7
7,2,4.99592,872.248,7
7,3,7.49389,986.656,7
7,4,9.99185,1105.054,7
8,0,0,414.52,7
8,1,2.49796,644.178,7
8,2,4.99592,869.967,7
8,3,7.49389,1029.482,7
8,4,9.99185,1069.004,7
9,0,0,411.813,7
9,1,2.49796,639.287,7
9,2,4.99592,858.567,7
9,3,7.49389,999.662,7
9,4,9.99185,1075.629,7
10,0,0,379.076,7
10,1,2.49796,603.801,7
10,2,4.99592,871.715,7
10,3,7.49389,984.414,7
10,4,9.99185,1039.48,7
11,0,0,392.195,7
11,1,2.49796,584.293,7
